EVENT_UNIQUE_ID,OCCURRENCE_YEAR,LOCATION_TYPE,MENTAL_OR_PHYSICAL_DISABILITY,RACE_BIAS,ETHNICITY_BIAS,LANGUAGE_BIAS,RELIGION_BIAS,SEXUAL_ORIENTATION_BIAS,GENDER_BIAS
GO-201826213,2018,Other Commercial / Corporate Places,None,None,None,None,Jewish,None,None
GO-201846652,2018,NA,None,None,None,None,Muslim,None,None
GO-201861664,2018,Public Transportation,None,Black,None,None,None,None,None
GO-2018119145,2018,Streets/Roadways/Highway,None,None,None,None,Jewish,None,None
GO-2018119799,2018,Public Transportation,None,None,None,None,Muslim,None,None
GO-2018174949,2018,"Government Building (Courthouse, Museums, Parliament Building, etc.)",None,None,None,None,Jewish,None,None
GO-2018168427,2018,"Government Building (Courthouse, Museums, Parliament Building, etc.)",None,Black,None,None,None,None,None
GO-2018200362,2018,Business/Retail,None,None,None,None,Jewish,None,None
GO-2018198293,2018,"Apartment Building (Condo, Retirement Buidling, etc.)",None,None,None,None,None,2SLGBTQ+,None
GO-2018233724,2018,"Educational Institution (Universities, Colleges, Schools, etc.)",None,None,None,None,Muslim,None,None
GO-2018276837,2018,"Educational Institution (Universities, Colleges, Schools, etc.)",None,Black,None,None,Jewish,None,None
GO-2018274742,2018,Public Transportation,None,None,None,None,None,Gay,None
GO-2018247956,2018,"Open Area, Park or Parking Lot",None,Black,None,None,Jewish,None,None
GO-2018299281,2018,Other Commercial / Corporate Places,None,None,None,None,Jewish,None,None
GO-2018307464,2018,Government Building,None,None,None,None,None,None,Transgender Woman (Identifies As Woman)
GO-2018325954,2018,Other Commercial / Corporate Places,None,None,None,None,Jewish,None,None
GO-2018338673,2018,"Apartment Building (Condo, Retirement Buidling, etc.)",None,None,None,None,Jewish,None,None
GO-2018338398,2018,"Medical Facility (Hospitals, Long-term Care, etc.)",None,None,None,None,Jewish,None,None
GO-2018344655,2018,Streets/Roadways/Highway,None,None,Chinese,None,None,None,None
GO-2018349271,2018,Other Commercial / Corporate Places,None,Black,None,None,Jewish,None,None
GO-2018368358,2018,"Government Building (Courthouse, Museums, Parliament Building, etc.)",None,Black,None,None,None,None,None
GO-2018384695,2018,"Educational Institution (Universities, Colleges, Schools, etc.)",None,None,Iranian,None,None,None,None
GO-2018408769,2018,"Educational Institution (Universities, Colleges, Schools, etc.)",None,Black,None,None,None,None,None
GO-2018416387,2018,"Government Building (Courthouse, Museums, Parliament Building, etc.)",None,Black,"Chinese, Arab",None,Jewish,None,None
GO-2018417283,2018,Religious Place of Worship/Cultural Centre,None,None,None,None,Jewish,None,None
GO-2018441841,2018,Streets/Roadways/Highway,None,None,None,None,Jewish,None,None
GO-2018486339,2018,"Apartment Building (Condo, Retirement Buidling, etc.)",None,None,None,None,Jewish,None,None
GO-2018520971,2018,"Apartment Building (Condo, Retirement Buidling, etc.)",None,Black,None,None,None,None,None
GO-2018571693,2018,"Apartment Building (Condo, Retirement Buidling, etc.)",None,None,None,None,Jewish,None,None
GO-2018827640,2018,"Apartment Building (Condo, Retirement Buidling, etc.)",None,None,None,None,Jewish,None,None
GO-2018596065,2018,Other Commercial / Corporate Places,None,None,None,None,Jewish,None,None
GO-2018635192,2018,Religious Place of Worship/Cultural Centre,None,None,Korean,None,None,None,None
GO-2018653264,2018,Streets/Roadways/Highway,None,None,None,None,None,None,Woman
GO-2018660834,2018,Non-Commercial/Non for Profit,None,Black,None,None,None,None,None
GO-2018660266,2018,Streets/Roadways/Highway,None,None,None,None,None,None,Woman
GO-2018680241,2018,"Medical Facility (Hospitals, Long-term Care, etc.)",None,None,None,None,Jewish,None,None
GO-2018672544,2018,Other Commercial / Corporate Places,None,None,None,None,None,None,Woman
GO-2018697960,2018,Other Commercial / Corporate Places,None,None,None,None,None,None,Woman
GO-2018696936,2018,"Educational Institution (Universities, Colleges, Schools, etc.)",None,None,None,None,Jewish,None,None
GO-2018712781,2018,Streets/Roadways/Highway,None,Black,None,None,None,None,None
GO-2018732797,2018,"Educational Institution (Universities, Colleges, Schools, etc.)",None,Black,None,None,"Jewish, Muslim",None,None
GO-2018930794,2018,"House (Townhouse, Retirement Home, Garage, Vehicle, Cottage)",None,None,None,None,Jewish,None,None
